d[,då
f[,få
g[,gå
l[,lå
m[,må
n[,nå
p[,på
r[,rå
s[,så
t[,tå
[d,åd
[g,åg
[h,åh
[l,ål
[r,år
[s,ås
bl[,blå
b[d,båd
b[l,bål
b[s,bås
b[t,båt
d[b,dåb
d[d,dåd
d[n,dån
fl[,flå
f[r,får
f[s,fås
gr[,grå
g[r,går
g[s,gås
h[b,håb
h[n,hån
h[r,hår
k[d,kåd
k[g,kåg
k[l,kål
k[r,kår
l[g,låg
l[n,lån
l[r,lår
l[s,lås
m[l,mål
m[r,mår
m[s,mås
m[t,måt
n[d,nåd
n[h,nåh
n[l,nål
n[r,når
n[s,nås
r[b,råb
r[d,råd
r[t,råt
sl[,slå
sm[,små
sp[,spå
s[h,såh
s[l,sål
s[r,sår
s[s,sås
s[t,såt
t[l,tål
t[r,tår
t[s,tås
u[r,uår
vr[,vrå
v[d,våd
v[r,vår
v[s,vås
[en,åen
[gs,ågs
[le,åle
[nd,ånd
[re,åre
[rh,årh
[se,åse
afg[,afgå
afs[,afså
ang[,angå
ans[,anså
beg[,begå
bel[,belå
bes[,beså
bl[r,blår
bl[t,blåt
b[de,både
b[ke,båke
b[nd,bånd
b[re,båre
b[se,båse
d[en,dåen
d[er,dåer
d[ne,dåne
d[re,dåre
d[se,dåse
fl[d,flåd
fl[r,flår
fl[t,flåt
fr[s,frås
f[et,fået
gr[d,gråd
gr[t,gråt
g[de,gåde
g[et,gået
g[rd,gård
h[be,håbe
h[nd,hånd
h[ne,håne
h[nt,hånt
h[rd,hård
h[re,håre
jas[,jaså
kr[l,krål
k[be,kåbe
k[de,kåde
k[dt,kådt
k[ge,kåge
k[re,kåre
l[ge,låge
l[ne,låne
l[nt,lånt
l[se,låse
l[st,låst
m[be,måbe
m[de,måde
m[ge,måge
m[le,måle
m[lt,målt
m[ne,måne
m[se,måse
n[de,nåde
n[et,nået
n[le,nåle
ogs[,også
omg[,omgå
opn[,opnå
op[d,opåd
pr[s,prås
p[g[,pågå
p[l[,pålå
p[se,påse
p[sy,påsy
p[s[,påså
r[be,råbe
r[bt,råbt
r[de,råde
r[ds,råds
r[en,råen
r[er,råer
r[ge,råge
skr[,skrå
sk[l,skål
sk[r,skår
sl[r,slår
sl[s,slås
sm[t,småt
sm[ø,småø
sp[n,spån
sp[r,spår
str[,strå
st[l,stål
st[r,står
s[et,sået
s[gu,sågu
s[re,såre
ti[r,tiår
tr[d,tråd
t[be,tåbe
t[en,tåen
t[ge,tåge
t[le,tåle
t[ls,tåls
t[lt,tålt
t[re,tåre
t[rn,tårn
ub[d,ubåd
udg[,udgå
uds[,udså
ud[d,udåd
ur[d,uråd
vr[l,vrål
v[de,våde
v[dt,vådt
v[ge,våge
v[nd,vånd
v[re,våre
v[se,våse
[ben,åben
[bne,åbne
[dal,ådal
[dre,ådre
[ger,åger
[get,åget
[gre,ågre
[len,ålen
[ler,åler
[let,ålet
[løb,åløb
[nde,ånde
[ren,åren
[rer,årer
[ret,året
[rle,årle
[rti,årti
[sen,åsen
[syn,åsyn
afg[r,afgår
afsl[,afslå
afst[,afstå
alts[,altså
ang[r,angår
anr[b,anråb
ansl[,anslå
anst[,anstå
attr[,attrå
bagp[,bagpå
beg[r,begår
besl[,beslå
best[,bestå
bes[r,besår
bist[,bistå
bl[ne,blåne
byr[d,byråd
b[den,båden
b[der,båder
b[des,bådes
b[det,bådet
b[ken,båken
b[ker,båker
b[let,bålet
b[nde,bånde
b[ren,båren
b[rer,bårer
b[ret,båret
b[rne,bårne
b[sen,båsen
b[ser,båser
b[set,båset
b[tte,båtte
derp[,derpå
dr[be,dråbe
d[ben,dåben
d[den,dåden
d[dyr,dådyr
d[kid,dåkid
d[lam,dålam
d[ner,dåner
d[net,dånet
d[ren,dåren
d[rer,dårer
d[ret,dåret
d[sen,dåsen
d[ser,dåser
etm[l,etmål
et[rs,etårs
feh[r,fehår
fem[r,femår
fl[de,flåde
fl[et,flået
forg[,forgå
form[,formå
forp[,forpå
forr[,forrå
fors[,forså
for[d,foråd
for[r,forår
frag[,fragå
fr[de,fråde
fr[ds,fråds
fr[se,fråse
fyr[b,fyråb
fæh[r,fæhår
f[ret,fåret
f[tal,fåtal
gens[,genså
gr[ne,gråne
g[ben,gåben
g[den,gåden
g[der,gåder
g[læg,gålæg
g[rde,gårde
g[sen,gåsen
g[set,gåset
g[tid,gåtid
g[tur,gåtur
hav[l,havål
hel[r,helår
heng[,hengå
henl[,henlå
hens[,henså
herp[,herpå
h[ber,håber
h[bet,håbet
h[nde,hånde
h[nen,hånen
h[ner,håner
h[net,hånet
h[nle,hånle
h[nlo,hånlo
h[nsk,hånsk
h[rde,hårde
h[rdt,hårdt
h[rer,hårer
h[ret,håret
indg[,indgå
inds[,indså
isbl[,isblå
isb[d,isbåd
kr[se,kråse
k[ben,kåben
k[ber,kåber
k[gen,kågen
k[len,kålen
k[rde,kårde
k[rer,kårer
k[ret,kåret
k[rne,kårne
lys[r,lysår
l[dne,lådne
l[gen,lågen
l[ger,låger
l[get,låget
l[ner,låner
l[net,lånet
l[nte,lånte
l[ret,låret
l[sen,låsen
l[ser,låser
l[ste,låste
medg[,medgå
modg[,modgå
m[ber,måber
m[bet,måbet
m[den,måden
m[der,måder
m[gen,mågen
m[ger,måger
m[ler,måler
m[let,målet
m[lte,målte
m[ned,måned
m[ner,måner
m[ren,måren
m[rer,mårer
m[sen,måsen
m[ske,måske
m[tte,måtte
ni[rs,niårs
nyt[r,nytår
nærp[,nærpå
n[den,nåden
n[dig,nådig
n[dle,nådle
n[ede,nåede
n[len,nålen
omg[r,omgår
omg[s,omgås
opn[r,opnår
opr[b,opråb
opsl[,opslå
opst[,opstå
pr[se,pråse
